표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7241390004,241390,2016-04-12,1200000,0.23,12145.0,6346.0,14574.0,0.23
KR7272560004,272560,2017-06-29,2480000,0.07,102250.0,131188.0,253580.0,0.07
KR7196230007,196230,2014-05-19,3578000,0.13,104695.0,271670.0,374599.0,0.13
KR7357870005,357870,2020-07-07,5104000,0.15,50485.0,89.0,257675.0,0.15
KR7341850006,341850,2020-05-22,7700000,0.22,5785.0,30027.0,44545.0,0.22
KR7272580002,272580,2017-06-29,3756000,0.07,50215.0,3096.0,188608.0,0.07
KR7157450008,157450,2012-05-16,15954000,0.09,100425.0,5613.0,1602180.0,0.09
KR7329200000,329200,2019-07-19,19050000,0.29,5990.0,214192.0,114110.0,0.29
KR7302190004,302190,2018-07-20,1280000,0.15,51560.0,281.0,65997.0,0.15
KR7114260003,114260,2009-07-29,1914000,0.15,57335.0,1536.0,109739.0,0.15
KR7273140004,273140,2017-06-29,1111000,0.15,102865.0,0.0,114283.0,0.15
KR7261240006,261240,2016-12-27,11170000,0.25,10445.0,179742.0,116671.0,0.25
KR7237370002,237370,2016-01-27,1800000,0.19,11885.0,2482.0,21393.0,0.19
KR7273130005,273130,2017-06-29,14093000,0.07,107560.0,2288.0,1515843.0,0.07
KR7214980005,214980,2015-03-03,13907000,0.15,103310.0,1460273.0,1436732.0,0.15
KR7153130000,153130,2012-02-22,19371000,0.15,102990.0,23425.0,1995019.0,0.15
KR7148070006,148070,2011-10-20,2130000,0.15,118280.0,8218.0,251936.0,0.15
KR7130730005,130730,2010-07-29,1083000,0.15,101305.0,305855.0,109713.0,0.15
KR7138230008,138230,2011-02-24,2780000,0.37,12420.0,15942.0,34528.0,0.37
KR7190620005,190620,2013-12-23,1828000,0.07,100585.0,541.0,183869.0,0.07
KR7251600003,251600,2016-08-11,1100000,0.2,11065.0,5253.0,12172.0,0.2
